Los Botines Vaquero Village - Water System Analysis
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT80    	0.5333          	59.6444         
Node J_CNT80    	0.5667          	59.2273         
Node J_CNT80    	0.6000          	58.8299         
Node J_CNT80    	0.6333          	58.0781         
Node J_CNT80    	0.6667          	57.0908         
Node J_CNT80    	0.7000          	55.2258         
Node J_CNT80    	0.7333          	48.3173         
Node J_CNT80    	0.7667          	50.3556         
Node J_CNT80    	0.8000          	53.3492         
Node J_CNT80    	0.8333          	60.1529         
Node J_CNT80    	0.8667          	58.3248         
Node J_CNT80    	0.9000          	56.3929         
Node J_CNT80    	0.9333          	53.0997         
Node J_CNT80    	0.9667          	58.5517         
Node J_CNT80    	1.0000          	56.7431         
Node J_CNT80    	1.0333          	53.4048         
Node J_CNT80    	1.0667          	50.2918         
Node J_CNT80    	1.1000          	52.9122         
Node J_CNT80    	1.1333          	61.0714         
Node J_CNT80    	1.1667          	56.0433         
Node J_CNT80    	1.2000          	51.2994         
Node J_CNT80    	1.2333          	62.5578         
Node J_CNT80    	1.2667          	55.2104         
Node J_CNT80    	1.3000          	49.2450         
Node J_CNT80    	1.3333          	58.6445         
Node J_CNT80    	1.3667          	52.9293         
Node J_CNT80    	1.4000          	41.0049         
Node J_CNT80    	1.4333          	50.3001         
Node J_CNT80    	1.4667          	63.5134         
Node J_CNT80    	1.5000          	62.3396         
Node J_CNT80    	1.5333          	55.9621         
Node J_CNT80    	1.5667          	50.6698         
Node J_CNT80    	1.6000          	63.7897         
Node J_CNT80    	1.6333          	54.3579         
Node J_CNT80    	1.6667          	46.4611         
Node J_CNT80    	1.7000          	52.3069         
Node J_CNT80    	1.7333          	53.6896         
Node J_CNT80    	1.7667          	54.3992         
Node J_CNT80    	1.8000          	51.0931         
Node J_CNT80    	1.8333          	53.8862         
Node J_CNT80    	1.8667          	50.4173         
Node J_CNT80    	1.9000          	53.9268         
Node J_CNT80    	1.9333          	50.1102         
Node J_CNT80    	1.9667          	54.5346         
Node J_CNT80    	2.0000          	54.2324         
