Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT41    	1.0333          	41.2940         
Node J_CNT41    	1.0667          	24.3134         
Node J_CNT41    	1.1000          	28.6289         
Node J_CNT41    	1.1333          	55.5905         
Node J_CNT41    	1.1667          	39.0424         
Node J_CNT41    	1.2000          	32.8529         
Node J_CNT41    	1.2333          	26.6430         
Node J_CNT41    	1.2667          	56.3866         
Node J_CNT41    	1.3000          	35.3878         
Node J_CNT41    	1.3333          	26.4907         
Node J_CNT41    	1.3667          	53.9117         
Node J_CNT41    	1.4000          	33.9619         
Node J_CNT41    	1.4333          	25.1116         
Node J_CNT41    	1.4667          	51.4229         
Node J_CNT41    	1.5000          	32.0301         
Node J_CNT41    	1.5333          	24.5316         
Node J_CNT41    	1.5667          	49.3352         
Node J_CNT41    	1.6000          	30.1923         
Node J_CNT41    	1.6333          	24.7773         
Node J_CNT41    	1.6667          	47.7064         
Node J_CNT41    	1.7000          	28.4274         
Node J_CNT41    	1.7333          	25.6570         
Node J_CNT41    	1.7667          	47.1451         
Node J_CNT41    	1.8000          	27.2194         
Node J_CNT41    	1.8333          	26.9928         
Node J_CNT41    	1.8667          	48.7015         
Node J_CNT41    	1.9000          	26.4724         
Node J_CNT41    	1.9333          	28.9527         
Node J_CNT41    	1.9667          	51.4723         
Node J_CNT41    	2.0000          	25.8430         
Node J_CNT80    	0.0000          	50.5439         
Node J_CNT80    	0.0333          	48.5338         
Node J_CNT80    	0.0667          	46.0738         
Node J_CNT80    	0.1000          	54.2339         
Node J_CNT80    	0.1333          	49.1591         
Node J_CNT80    	0.1667          	46.1855         
Node J_CNT80    	0.2000          	42.9115         
Node J_CNT80    	0.2333          	55.2018         
Node J_CNT80    	0.2667          	44.6968         
Node J_CNT80    	0.3000          	33.5342         
Node J_CNT80    	0.3333          	37.3665         
Node J_CNT80    	0.3667          	48.8210         
Node J_CNT80    	0.4000          	50.3440         
Node J_CNT80    	0.4333          	39.8532         
Node J_CNT80    	0.4667          	47.3230         
Node J_CNT80    	0.5000          	46.2662         
Node J_CNT80    	0.5333          	32.3767         
Node J_CNT80    	0.5667          	31.3574         
Node J_CNT80    	0.6000          	50.3924         
Node J_CNT80    	0.6333          	43.4398         
Node J_CNT80    	0.6667          	24.9119         
Node J_CNT80    	0.7000          	29.1477         
Node J_CNT80    	0.7333          	49.4463         
Node J_CNT80    	0.7667          	42.4146         
Node J_CNT80    	0.8000          	20.1196         
Node J_CNT80    	0.8333          	28.4341         
Node J_CNT80    	0.8667          	52.2264         
Node J_CNT80    	0.9000          	39.3114         
Node J_CNT80    	0.9333          	20.5409         
Node J_CNT80    	0.9667          	26.6934         
Node J_CNT80    	1.0000          	51.7154         
Node J_CNT80    	1.0333          	38.2234         
Node J_CNT80    	1.0667          	21.2427         
Node J_CNT80    	1.1000          	25.5582         
Node J_CNT80    	1.1333          	52.5199         
Node J_CNT80    	1.1667          	35.9718         
Node J_CNT80    	1.2000          	29.7823         
Node J_CNT80    	1.2333          	23.5724         
Node J_CNT80    	1.2667          	53.3160         
Node J_CNT80    	1.3000          	32.3172         
