LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HP,Setting,CurveID,Valve  Type,Tag,Valve,Type.1,Reject_Reason,Notes,__sheet__
V8,Valve,J_V8_IN,J_V8_OUT,0,1.029,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm (SNT2)""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_CNT40_185,Pipe,J_V8_OUT,CNT41,185,1.029,0.000167,Open,0,nan,nan,nan,0,185 ft lateral → through V8 to CNT41,,,,,Sheet1
P_SNT2_205_230,Pipe,J_SNT2_205,J_SNT2_235,25,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 205→25 ft,,,,,Sheet1
P_SNT2_235_CNT42,Pipe,J_SNT2_235,CNT42,150,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @150 ft → CNT42""",,,,,Sheet1
P_SNT2_235_245,Pipe,J_SNT2_235,J_SNT2_245,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 235→15 ft,,,,,Sheet1
P_SNT2_245_CNT43,Pipe,J_SNT2_245,CNT43,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT43,,,,,Sheet1
P_SNT2_245_290,Pipe,J_SNT2_245,J_SNT2_290,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 245→50 ft,,,,,Sheet1
P_SNT2_290_CNT44,Pipe,J_SNT2_290,CNT44,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT44,,,,,Sheet1
P_SNT2_290_305,Pipe,J_SNT2_290,J_SNT2_305,15,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,,,,,Sheet1
P_SNT2_305_CNT45,Pipe,J_SNT2_305,CNT45,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → through V8 to CNT45,,,,,Sheet1
P_SNT2_305_355,Pipe,J_SNT2_305,J_SNT2_355,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 305→50 ft,,,,,Sheet1
P_SNT2_355_CNT46,Pipe,J_SNT2_355,CNT46,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT46,,,,,Sheet1
P_SNT2_355_370,Pipe,J_SNT2_355,J_SNT2_370,15,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 355→15 ft,,,,,Sheet1
P_SNT2_370_CNT47,Pipe,J_SNT2_370,CNT47,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT47,,,,,Sheet1
P_SNT2_370_420,Pipe,J_SNT2_370,J_SNT2_420,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 370→50 ft,,,,,Sheet1
P_SNT2_420_CNT48,Pipe,J_SNT2_420,CNT48,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT48,,,,,Sheet1
P_SNT2_420_440,Pipe,J_SNT2_420,J_SNT2_440,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 420→20 ft,,,,,Sheet1
P_SNT2_440_CNT49,Pipe,J_SNT2_440,CNT49,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT49,,,,,Sheet1
P_SNT2_440_475,Pipe,J_SNT2_440,J_SNT2_475,35,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 440→35 ft,,,,,Sheet1
P_SNT2_475_CNT50,Pipe,J_SNT2_475,CNT50,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT50,,,,,Sheet1
P_SNT2_475_510,Pipe,J_SNT2_475,J_SNT2_510,35,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 475→35 ft,,,,,Sheet1
P_SNT2_510_CNT51,Pipe,J_SNT2_510,CNT51,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT51,,,,,Sheet1
P_SNT2_510_545,Pipe,J_SNT2_510,J_SNT2_545,35,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 510→35 ft,,,,,Sheet1
P_SNT2_545_CNT52,Pipe,J_SNT2_545,CNT52,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT52,,,,,Sheet1
P_SNT2_545_580,Pipe,J_SNT2_545,J_SNT2_580,35,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 545→35 ft,,,,,Sheet1
P_SNT2_580_CNT53,Pipe,J_SNT2_580,CNT53,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT53,,,,,Sheet1
P_SNT2_580_715,Pipe,J_SNT2_580,J_SNT2_715,135,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 580→135 ft,,,,,Sheet1
P_SNT2_715_CNT54,Pipe,J_SNT2_715,CNT54,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT54,,,,,Sheet1
P_SNT2_715_765,Pipe,J_SNT2_715,J_SNT2_765,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 715→50 ft,,,,,Sheet1
P_SNT2_765_CNT55,Pipe,J_SNT2_765,CNT55,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT55,,,,,Sheet1
P_SNT2_765_815,Pipe,J_SNT2_765,J_SNT2_815,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 765→50 ft,,,,,Sheet1
P_SNT2_815_CNT56,Pipe,J_SNT2_815,CNT56,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT56,,,,,Sheet1
P_SNT2_815_890,Pipe,J_SNT2_815,J_SNT2_890,75,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 815→75 ft,,,,,Sheet1
V9,Valve,J_V9_IN,J_V9_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm (SNT2)""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_CNT57_15,Pipe,J_V9_OUT,CNT57,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral → through V9 to CNT57,,,,,Sheet1
P_SNT2_890_V9_OUT,Pipe,J_V9_OUT,J_SNT3_55,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT3 +55 ft to CNT58,,,,,Sheet1
P_SNT3_55_CNT58,Pipe,J_SNT3_55,CNT58,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral → CNT58,,,,,Sheet1
P_SNT3_55_110,Pipe,J_SNT3_55,J_SNT3_110,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT3 +55 ft to CNT59,,,,,Sheet1
P_SNT3_110_CNT59,Pipe,J_SNT3_110,CNT59,15,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral → CNT41,,,,,Sheet1
P_SNT3_110_165,Pipe,J_SNT3_110,J_SNT3_165,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT3 +55 ft to CNT60,,,,,Sheet1
P_SNT3_165_CNT60,Pipe,J_SNT2_165,CNT60,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral → CNT60,,,,,Sheet1
P_SNT3_165_220,Pipe,J_SNT3_165,J_SNT3_220,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT3 +55 ft to CNT61,,,,,Sheet1
P_SNT3_220_CNT61,Pipe,J_SNT2_220,CNT61,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral → CNT61,,,,,Sheet1
P_SNT3_220_25,Pipe,J_SNT2_220,J_SNT2_275,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT3 +55 ft to CNT62,,,,,Sheet1
P_SNT3_275_CNT62,Pipe,J_SNT2_275,CNT62,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral → CNT62,,,,,Sheet1
P_SNT2_890_910,Pipe,J_V9_OUT,J_SNT2_890,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 +20 ft to CNT63,,,,,Sheet1
P_SNT2_910_CNT63,Pipe,J_SNT2_910,CNT63,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral → CNT63,,,,,Sheet1
P_SNT2_910_1070,Pipe,J_SNT2_910,J_SNT2_1070,160,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 +160 ft to Valve V10,,,,,Sheet1
V10,Valve,J_V10_IN,J_V10_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm (SNT2)""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT4_20,Pipe,J_V10_OUT,J_SNT4_20,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2  change to SNT4 through Valve V10,,,,,Sheet1
P_SNT4_20_CNT64,Pipe,J_SNT4_20,CNT64,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral → CNT64,,,,,Sheet1
P_SNT4_20_70,Pipe,J_SNT4_20,J_SNT4_70,50,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT4 +50 ft to CNT65,,,,,Sheet1
P_SNT4_70_CNT65,Pipe,J_SNT4_70,CNT65,15,1.029,0.000167,Open,0,nan,nan,nan,nan,15 ft lateral → CNT65,,,,,Sheet1
