Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT80    	1.1667          	52.8564         
Node J_CNT80    	1.2000          	59.6132         
Node J_CNT80    	1.2333          	55.9556         
Node J_CNT80    	1.2667          	53.1935         
Node J_CNT80    	1.3000          	49.5332         
Node J_CNT80    	1.3333          	56.4208         
Node J_CNT80    	1.3667          	52.6917         
Node J_CNT80    	1.4000          	55.3873         
Node J_CNT80    	1.4333          	41.0712         
Node J_CNT80    	1.4667          	58.0253         
Node J_CNT80    	1.5000          	35.6878         
Node J_CNT80    	1.5333          	58.1178         
Node J_CNT80    	1.5667          	34.6293         
Node J_CNT80    	1.6000          	57.9446         
Node J_CNT80    	1.6333          	35.0921         
Node J_CNT80    	1.6667          	58.6818         
Node J_CNT80    	1.7000          	33.3972         
Node J_CNT80    	1.7333          	58.4747         
Node J_CNT80    	1.7667          	33.4427         
Node J_CNT80    	1.8000          	58.8122         
Node J_CNT80    	1.8333          	32.2076         
Node J_CNT80    	1.8667          	58.2469         
Node J_CNT80    	1.9000          	32.3127         
Node J_CNT80    	1.9333          	58.4902         
Node J_CNT80    	1.9667          	31.4179         
Node J_CNT80    	2.0000          	57.9357         
