Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT80    	1.0667          	55.6062         
Node J_CNT80    	1.1000          	25.7312         
Node J_CNT80    	1.1333          	55.4093         
Node J_CNT80    	1.1667          	24.8172         
Node J_CNT80    	1.2000          	55.5298         
Node J_CNT80    	1.2333          	23.8720         
Node J_CNT80    	1.2667          	55.6084         
Node J_CNT80    	1.3000          	23.6047         
Node J_CNT80    	1.3333          	55.4088         
Node J_CNT80    	1.3667          	22.6674         
Node J_CNT80    	1.4000          	55.4798         
Node J_CNT80    	1.4333          	22.4208         
Node J_CNT80    	1.4667          	55.2938         
Node J_CNT80    	1.5000          	21.4896         
Node J_CNT80    	1.5333          	55.3545         
Node J_CNT80    	1.5667          	20.5190         
Node J_CNT80    	1.6000          	55.3759         
Node J_CNT80    	1.6333          	20.2554         
Node J_CNT80    	1.6667          	55.1820         
Node J_CNT80    	1.7000          	19.2912         
Node J_CNT80    	1.7333          	55.1928         
Node J_CNT80    	1.7667          	19.0427         
Node J_CNT80    	1.8000          	55.0088         
Node J_CNT80    	1.8333          	18.0812         
Node J_CNT80    	1.8667          	55.0089         
Node J_CNT80    	1.9000          	17.8414         
Node J_CNT80    	1.9333          	54.8324         
Node J_CNT80    	1.9667          	16.8779         
Node J_CNT80    	2.0000          	54.8198         
