NodeID,X_ft,Y_ft,Elev_ft,BaseDemand_gpm,PatternID,Zone,Tag,SquaresX,SquaresY,Reject_Reason,Notes
J_SNT1_1765,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1765,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1860,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1860,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_1875,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_1875,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_2025,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_2025,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_2040,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_2040,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_2135,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT1_2135,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT1_2215,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V4_IN,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
M1,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_55,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V5_IN,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V5_OUT,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_55,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V5_OUT,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
